Title,Rating,Votes,Duration,Genre
385. Overlord: The Sacred Kingdom,7.0, (704),135,action
386. Rise of the Ronin,7.0, (341),0,action
387. Kanguva,4.5, (14K),152,action
388. An Archdemon's Dilemma: How to Love Your Elf Bride,7.1, (1.4K),0,action
389. The Impossible Heir,6.4, (1.2K),99,action
390. Starship Troopers: Extermination,7.1, (28),99,action
"391. Love, Courage and the Battle of Bushy Run",5.0, (175),113,action
392. Hades II,8.3, (198),0,action
393. WrestleMania XL,8.6, (1.1K),456,action
394. The Office Movers,5.8, (579),99,action
395. Savi,6.2, (35K),126,action
396. Everybody Loves Jenifa,8.4, (79),135,action
397. Nice Girls,4.2, (1.2K),92,action
398. Zorro,5.7, (495),99,action
399. The Witch and the Beast,6.9, (1.2K),0,action
400. Sorgavaasal,6.6, (1.3K),138,action
401. Cells at Work!,6.8, (172),109,action
402. Baki Hanma VS Kengan Ashura,5.7, (1.9K),62,action
403. My Instant Death Ability is Overpowered,6.2, (930),0,action
404. Lego Marvel Avengers: Mission Demolition,6.3, (559),44,action
405. Zenless Zone Zero,6.8, (267),0,action
406. Spiders on a Plane,5.6, (362),78,action
407. Operation Undead,4.6, (369),110,action
408. 40 Acres,6.5, (104),113,action
409. Code Geass: Rozé of the Recapture,6.5, (398),0,action
410. Young Lion of the West,8.1, (106),93,action
411. Elden Ring: Shadow of the Erdtree,9.3, (1.6K),0,action
412. Agent State Farm,7.5, (284),1,action
413. Escape from the 21st Century,6.6, (825),98,action
414. Such a Close Traitor,7.6, (719),99,action
415. Re: Monster,6.4, (1.6K),99,action
416. War of the Worlds: Extinction,3.0, (181),84,action
417. Black Butler: Public School Arc,7.3, (373),99,action
418. Barroz: Guardian of Treasures,3.6, (959),155,action
419. The Friendly,8.1, (15),101,action
420. Roadkill,3.6, (673),90,action
421. Je Jatt Vigarh Gya,5.7, (817),132,action
422. Fated Deal with the Mafia King,8.7, (101),99,action
423. Bade Miyan Chote Miyan,3.8, (39K),163,action
424. Non Negotiable,5.4, (1.2K),87,action
425. Big Rage,3.6, (158),115,action
426. Mission: Yozakura Family,6.7, (593),0,action
427. Sasan,8.5, (64),155,action
428. Gormiti: The New Era,6.3, (39),99,action
429. UI,6.9, (5.6K),135,action
430. Ayalaan,6.0, (4K),155,action
"431. The Healer Who Was Banished from His Party, Is, in Fact, the Strongest",5.5, (346),99,action
432. Mission: Cross,6.1, (2.5K),105,action
433. Batman Beyond: Year One,7.6, (196),14,action
434. Tillu Square,6.6, (3.4K),137,action
435. The Last Ronin,4.9, (232),115,action
436. Pimpinero: Blood and Oil,5.6, (541),121,action
437. Senua's Saga: Hellblade II,7.7, (1K),0,action
438. En fin,6.4, (762),99,action
439. Iwájú,7.2, (1.2K),0,action
440. Alangu,8.3, (1.2K),131,action
441. Black Creek,,,116,action
442. Mortal Kombat 1 Khaos Reigns,6.4, (62),0,action
443. The Casting of Frank Stone,6.5, (295),0,action
444. Jack and Joker,8.5, (1K),99,action
445. The Actor,3.3, (723),128,action
446. Cassino in Ischia,4.4, (232),113,action
447. The Virgin's Bucket List,8.9, (57),99,action
448. Bionic,4.3, (1.7K),110,action
449. The Strongest Magician in the Demon Lord's Army was a Human,6.1, (711),99,action
450. School of Magical Animals 3,5.9, (298),105,action
451. Knight Flower,7.6, (736),99,action
452. The Bad Guys: Haunted Heist,5.5, (1.4K),25,action
453. The Waiter,8.0, (20),99,action
454. Stellar Blade,8.4, (757),0,action
455. S.T.A.L.K.E.R. 2: Heart of Chernobyl,7.6, (395),0,action
456. Sucha Soorma,6.5, (910),136,action
457. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2, (651),174,action
458. Tokyo Override,6.5, (447),0,action
459. The Jackal,9.0, (19),30,action
460. Memes & Nightmares,5.7, (78),81,action
461. Rob N Roll,6.1, (1.5K),98,action
462. The Last of Us: Immunity,6.3, (13),64,action
463. Deaner '89,5.9, (415),90,action
464. Ka Whawhai Tonu,7.4, (170),115,action
465. Hunting with Tigers,5.6, (510),109,action
466. Super Icyclone,4.7, (280),87,action
467. Invasion,4.8, (666),91,action
468. Metallic Rouge,6.0, (546),0,action
469. WWE 2K24,7.4, (337),0,action
470. Yodha,5.7, (8.8K),130,action
471. Max and the Midknights,6.7, (121),0,action
472. High Forces,5.8, (510),119,action
473. Indian 2,3.9, (16K),99,action
474. Tales of Herding Gods,8.9, (94),99,action
475. Still Wakes the Deep,7.6, (631),0,action
476. Invincible Fight Girl,7.4, (464),0,action
477. Ranneeti: Balakot & Beyond,7.8, (17K),99,action
478. Nothing Even Matters,5.5, (74),90,action
479. Handsome Guys,6.5, (765),101,action
480. Onsen shâku,6.0, (10),70,action
481. Prince of Persia: The Lost Crown,7.9, (543),0,action
482. Art of Eight Limbs,4.0, (305),101,action
483. Citizen of a Kind,6.7, (777),114,action
484. Mr. Bachchan,3.6, (5.3K),150,action
485. Sector 17,7.4, (1.3K),146,action
486. Bangkok Breaking: Heaven and Hell,5.8, (657),146,action
487. Dashing Youth,8.0, (180),99,action
488. Scar,6.1, (241),99,action
489. Auron Mein Kahan Dum Tha,6.6, (41K),150,action
490. My Fathers' Daughter,6.6, (71),78,action
491. No Time to Spy: A Loud House Movie,6.4, (437),81,action
492. Crakk: Jeetega... Toh Jiyegaa,4.7, (6.5K),154,action
493. The Kingdom,7.9, (85),133,action
494. Devaki Nandana Vasudeva,8.8, (2.7K),128,action
"495. Good Bye, Dragon Life.",6.0, (427),99,action
496. The First Descendant,6.2, (118),0,action
497. Bureau 749,4.1, (503),123,action
498. Beast Boy: Lone Wolf,7.9, (77),0,action
499. Sabari,8.4, (5.4K),129,action
500. Sonic x Shadow Generations: Dark Beginnings,8.7, (320),0,action
501. The Slave and the Sorcerer,6.7, (38),86,action
502. Taken from Rio Bravo,3.0, (308),80,action
503. Garudan,7.1, (3.3K),133,action
504. Tekken 8,8.2, (620),0,action
505. Garouden: The Way of the Lone Wolf,6.1, (699),0,action
506. Indian Police Force,5.0, (59K),99,action
507. Batman: The Series,,,99,action
508. Exorcism Chronicles: The Beginning,6.9, (72),85,action
509. GATAO: Like Father Like Son,6.8, (65),100,action
510. Blue Exorcist -Beyond the Snow Saga-,7.1, (210),99,action
511. Blue Exorcist: Shimane Illuminati Saga,6.9, (424),99,action
512. Hattichhap,8.9, (849),99,action
513. Shark Warning,3.4, (249),94,action
514. Paradise,6.9, (77),83,action
515. Zona Merah,7.4, (198),0,action
516. Dange,5.3, (788),154,action
517. Duniyapur,8.0, (497),99,action
518. Baby Assassins: Nice Days,7.3, (273),103,action
519. Diabel,5.1, (212),108,action
520. Çirak,7.1, (432),99,action
521. SDI: Secret Department of Intervention,4.7, (29),120,action
522. The New Gate,6.3, (741),0,action
523. Love's Rebellion,7.3, (78),99,action
524. 4 Minutes,7.6, (718),99,action
525. Martin,2.3, (36K),147,action
526. Flight Attendant,5.9, (1.1K),99,action
527. Dragon's Dogma II,7.4, (452),0,action
528. Bachhala Malli,8.3, (3.9K),140,action
529. Dragon Ball: Sparking! Zero,8.4, (429),0,action
530. Monsters: 103 Mercies Dragon Damnation,7.7, (2.5K),25,action
531. Sand Land: The Series,7.6, (979),0,action
532. Orang Ikan,6.5, (31),83,action
533. The Blue Wolves of Mibu,6.7, (137),99,action
534. Yudhra,5.0, (13K),142,action
535. Siren,6.4, (2.9K),154,action
536. Wonder Pets: In the City,7.5, (47),0,action
537. Ourika,6.5, (393),99,action
538. Alien Country,4.4, (351),96,action
539. Reapers,8.7, (572),99,action
540. Faraar,9.0, (62),99,action
541. Crash,7.5, (412),99,action
542. Troubleshooters,6.7, (402),110,action
543. Sayen: The Huntress,4.4, (253),88,action
544. Red Room,7.5, (131),99,action
545. Crisis Negotiators,6.7, (693),120,action
546. Lollipop Chainsaw: RePOP,7.4, (97),0,action
547. Slay the Gods,8.4, (170),99,action
548. Six jours,6.3, (98),95,action
549. Jay Jagannath,7.9, (146),99,action
550. Baby Walkure Everyday!,8.3, (72),99,action
551. American Underdog,8.8, (23),89,action
552. Mummy Shark,2.0, (173),66,action
553. The Grey Men,6.5, (68),97,action
554. Snatched,4.9, (207),101,action
555. Link Click,8.0, (48),99,action
556. Big City Greens the Movie: Spacecation,6.2, (536),0,action
557. Naam,6.4, (274),136,action
558. S.T.A.L.K.E.R.: Shadow of the Zone,5.2, (450),72,action
559. Mongol,8.6, (90),155,action
560. The McBee Dynasty: Real American Cowboys,6.3, (271),99,action
561. UmroAyyar - A New Beginning,6.9, (670),135,action
562. Viral Hit,7.2, (1K),99,action
